country,age,sex,MDS_x,MDS_y,tsne_x,tsne_y,scluster9,kmeans6
Colombia,55-74 years,female,-3.172210604961597,-4.7208478902534425,-8.48574,-62.903374,8,1
Colombia,55-74 years,male,-0.3560551521784302,-4.7034415960003955,-38.930992,-19.126377,8,1
Colombia,75+ years,female,-3.2714130455611423,-4.721347267251718,-7.9779496,-63.9581,8,1
Colombia,75+ years,male,1.1402890012307796,-4.71755264552509,-41.337547,-2.1991937,8,3
Czech Republic,15-24 years,female,-2.7522596596240985,-2.7872042988571595,-3.9541693,-23.36153,8,1
Czech Republic,15-24 years,male,0.7167496190125348,-2.748971939613461,-38.054504,-9.747014,8,3
Czech Republic,25-34 years,female,-2.5635031227466487,-2.7832549419829657,-4.2738276,-23.440004,8,1
Czech Republic,25-34 years,male,2.552851845739267,-2.711827059183823,-32.641346,0.61781526,8,3
Czech Republic,35-54 years,female,-1.5549862745382481,-2.772928190786062,-22.807924,27.179764,8,1
Czech Republic,35-54 years,male,5.800022305418053,-2.7203359951902004,-12.742352,1.7156678,8,3
Czech Republic,5-14 years,female,-3.467031634577307,-2.804009464227317,-2.43941,-22.983768,8,1
Czech Republic,5-14 years,male,-3.365254503491462,-2.80142607357541,-2.6286287,-23.028381,8,1
Czech Republic,55-74 years,female,-1.2506078347998015,-2.7672348459369727,-22.950768,27.05086,8,1
Czech Republic,55-74 years,male,5.64131593278967,-2.716211824013448,-12.622191,1.284213,8,3
Czech Republic,75+ years,female,0.434994858608629,-2.777820991516148,-38.503155,-9.9038315,8,3
Czech Republic,75+ years,male,14.103756643492613,-2.725628801202038,61.35161,-21.705067,2,2
Ecuador,15-24 years,female,-1.2576578823683995,-4.875516255515321,-40.09091,-26.187567,8,1
Ecuador,15-24 years,male,0.03211284736291162,-4.89775608876622,-42.664406,-22.23213,8,1
Ecuador,25-34 years,female,-2.415771363369811,-4.871878547896352,-10.518022,-54.85963,8,1
Ecuador,25-34 years,male,-0.1617035184939447,-4.898848493340795,-42.57171,-22.548931,8,1
Ecuador,35-54 years,female,-2.882562770536724,-4.879937343408386,-12.276109,-60.176945,8,1
Ecuador,35-54 years,male,-0.8834846305661456,-4.8868763537234985,-40.829895,-24.889853,8,1
Ecuador,5-14 years,female,-3.115309154910116,-4.8790675771929966,-12.79413,-62.174446,8,1
Ecuador,5-14 years,male,-3.077215924036667,-4.880521855518624,-12.8692,-61.773937,8,1
Ecuador,55-74 years,female,-2.9787438343835206,-4.883142567304403,-12.669663,-60.59428,8,1
Ecuador,55-74 years,male,-0.6347562482557305,-4.922867457246553,-41.551044,-24.023132,8,1
Ecuador,75+ years,female,-3.046231771704757,-4.887624865026006,-13.218798,-63.35843,8,1
Ecuador,75+ years,male,0.09910318862656112,-4.9783036158231235,-43.830414,-21.83582,8,1
Finland,15-24 years,female,-1.3920935460945016,3.0781566591899114,19.048277,10.319697,6,0
Finland,15-24 years,male,4.268158978306781,3.0649744878926417,49.2916,16.557312,6,4
Finland,25-34 years,female,-0.7535871168083069,3.081053752330525,20.734112,13.334387,6,0
Finland,25-34 years,male,6.961569332524515,3.1467405687948333,55.66459,4.771805,6,4
Finland,35-54 years,female,0.1144588292133784,3.083462148748648,23.925299,20.068071,6,0
Finland,35-54 years,male,8.378465425190033,3.088651919768209,55.71929,3.1918197,6,4
Finland,5-14 years,female,-3.5084627115580953,3.044869506270774,15.469559,-10.364113,6,0
Finland,5-14 years,male,-3.4078915569215753,3.0474354329985807,15.223619,-10.442536,6,0
Finland,55-74 years,female,-0.22868783384290062,3.079783282849006,24.090008,19.667269,6,0
Finland,55-74 years,male,6.763821604272995,3.1118025624741095,55.276726,5.0456257,6,4
Finland,75+ years,female,-1.6887475689418487,3.075225085849063,17.586205,9.8585615,6,0
Finland,75+ years,male,8.159913002534726,3.133407289928509,56.73569,3.395867,6,4
