Country,Region,Happiness Rank,Happiness Score
Madagascar,Sub-Saharan Africa,147,3.681
Central African Republic,Sub-Saharan Africa,148,3.678
Chad,Sub-Saharan Africa,149,3.667
Guinea,Sub-Saharan Africa,150,3.656
Ivory Coast,Sub-Saharan Africa,151,3.655
Burkina Faso,Sub-Saharan Africa,152,3.587
Afghanistan,Southern Asia,153,3.575
Rwanda,Sub-Saharan Africa,154,3.465
Benin,Sub-Saharan Africa,155,3.34
Syria,Middle East and Northern Africa,156,3.006
Burundi,Sub-Saharan Africa,157,2.905
Togo,Sub-Saharan Africa,158,2.839
